Histórico;Solicitante;Órgáo;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgáos;Origem;Destino;Nome;Cargo/Função;Órgáo
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Caroline Lopes Teixeira;Chefe de Comunicação Digital do Governo do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Gustavo de Oliveira Barbosa;Secretário de Estado;Secretaria de Estado de Fazenda
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Mateus Simões da Almeida;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Otto Alexandre Levy Reis;Secretário de Estado;Secretaria de Estado de Planejamento e Gestáo
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;02:35:00;PR-TRJ - PEGASUS 21;0026-2020;EsAF;09/04/2020;GMG;BELO HORIZONTE;BRASILIA;Romeu Zema Neto;Governador do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;01:10:00;PR-TRJ - PEGASUS 21;0027-2020;EsAF;09/04/2020;GMG;BRASILIA;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa do Governo de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;01:10:00;PR-TRJ - PEGASUS 21;0027-2020;EsAF;09/04/2020;GMG;BRASILIA;BELO HORIZONTE;Caroline Lopes Teixeira;Chefe de Comunicação Digital do Governo do Estado de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador MG;PLANEJADA;01:10:00;PR-TRJ - PEGASUS 21;0027-2020;EsAF;09/04/2020;GMG;BRASILIA;BELO HORIZONTE;Gustavo de Oliveira Barbosa;Secretário de Estado;Secretaria de Estado de Fazenda
