historico;solicitante;orgão_solicitante;status_voo;horas_voadas;Aeronave;n_db;base;data;orgao_responsável;origem;destino;passageiro;cargo_funcao_;orgao_passageiro
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;King Air - PT-WGS;;;26/01/2020;;BELO HORIZONTE;MANHUAÇU;Agostinho Célio Andrade Patrus;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;Dauphin - PR-DTG;;;26/01/2020;;MANHUAÇU;MANHUAÇU;Agostinho Célio Andrade Patrus;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Visita nas regiões afestadas pelas chuvas para avaliações dos danos causados  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;King Air - PT-WGS;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;MANHUAÇU;Agostinho Célio Andrade Patrus;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Sobrevoo nas regiões afetadas pelas chuvas  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Dauphin - PR-DTG;;;26/01/2020 00:00;Gabinete Militar do Governador;MANHUAÇU;MANHUAÇU;Agostinho Célio Andrade Patrus;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Governador de Minas Gerais e comitiva para revista à tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:42:00;PR-DTG - N3;0113-2020;DTA;03/09/2020;Secretaria-Geral;OURO PRETO;BELO HORIZONTE;Alencar Magalhães da Silveira Junior;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Governador de Minas Gerais e comitiva para revista á  tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;01:22:00;PR-DTG - N3;0111-2020;DTA;03/09/2020;Secretaria-Geral;BELO HORIZONTE;BRUMADINHO;Alencar Magalhães da Silveira Junior;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Governador de Minas Gerais e comitiva para revista á  tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:22:00;PR-DTG - N3;0112-2020;DTA;03/09/2020;Secretaria-Geral;BRUMADINHO;OURO PRETO;Alencar Magalhães da Silveira Junior;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Sobrevoo nas regiões mineiras afetadas pelas chuvas.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Dauphin - PR-DTG;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;BELO HORIZONTE;Alexandre Kalil;Prefeito de Belo Horizonte;Prefeitura de Belo Horizonte
Agenda Oficial do Governador do Estado de Minas Gerais: - Sobrevoo nas regiões mineiras afetadas pelas chuvas.;;;PLANEJADA;;Dauphin - PR-DTG;;;26/01/2020;;BELO HORIZONTE;BELO HORIZONTE;Alexandre Kalil;Prefeito de Belo Horizonte;Prefeitura de Belo Horizonte
Agenda Oficial do Governador do Estado de Minas Gerais: Sobrevoo nas regiões mineiras afetadas pelas chuvas.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Dauphin - PR-DTG;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;BELO HORIZONTE;Alexandre Lucas Alves;Secretário Nacional de Proteção e Defesa Civil;Gabinete Militar do Governador
