Histórico;Solicitante;Órgão;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgãos;Origem;Destino;Nome;Cargo/Função;Órgão
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:00:00;PP-LCE - PÉGASUS 24;0018-2025;DTA;28/01/2025;Secretaria-Geral;BRASILIA;BELO HORIZONTE;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:00:00;PP-LCE - PÉGASUS 24;0064-2025;DTA;02/04/2025;Secretaria-Geral;BRASILIA;BELO HORIZONTE;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva para Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:00:00;PP-LCE - PÉGASUS 24;0017-2025;DTA;28/01/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador e comitiva para a cidade de Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:00:00;PP-LCE - PÉGASUS 24;0063-2025;DTA;02/04/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Sérgio Pessoa de Paula Castro;Advogado-Geral do Estado;Advocacia-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e comitiva até a cidade de Conceição do Mato Dentro/ MG;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:27:00;PR-DTG - N9;0064-2025;DTA;03/07/2025;Secretaria-Geral;SERRO;BELO HORIZONTE;Ana Cristina Sanches Noronha;CEO Anglo American Mineiro de Ferro e Ação de Brasil S/A;Anglo American Mineiro de Ferro e Ação de Ferro Brasil S/A
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ponte Nova,  Viçosa e Araxá.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:10:00;PR-OSO - PEGASUS 16;0009-2025;EsAF;30/01/2025;Secretaria-Geral;BELO HORIZONTE;PONTE NOVA;Adriano de Almeida Alvarenga;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva para a cidade de São Paulo/SP.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:48:00;PP-LCE - PÉGASUS 24;0056-2025;DTA;24/03/2025;Secretaria-Geral;SAO PAULO;BELO HORIZONTE;Cássio Antonio Ferreira Soares;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0039-2025;EsAF;11/07/2025;Secretaria-Geral;SAO JOAO DA BOA VISTA;BELO HORIZONTE;Greyce de Queiroz Elias;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0037-2025;EsAF;11/07/2025;Secretaria-Geral;VARGINHA;POCOS DE CALDAS;Greyce de Queiroz Elias;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0035-2025;EsAF;11/07/2025;Secretaria-Geral;BELO HORIZONTE;TRES CORACOES;Greyce de Queiroz Elias;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
